iter	Passed	Remaining
0	0	33
1	0	30
2	0	29
3	1	26
4	1	26
5	1	26
6	1	26
7	2	26
8	2	25
9	2	25
10	3	24
11	3	24
12	3	24
13	3	24
14	4	23
15	4	23
16	4	23
17	5	23
18	5	22
19	5	22
20	5	22
21	6	21
22	6	21
23	6	21
24	6	20
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	9	18
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	17
41	11	16
42	12	16
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	14	12
54	15	12
55	15	12
56	15	11
57	16	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	10
64	18	9
65	18	9
66	18	9
67	18	8
68	19	8
69	19	8
70	19	8
71	20	7
72	20	7
73	20	7
74	21	7
75	21	6
76	21	6
77	21	6
78	22	5
79	22	5
80	22	5
81	23	5
82	23	4
83	23	4
84	24	4
85	24	3
86	24	3
87	24	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	26	1
95	27	1
96	27	0
97	27	0
98	28	0
99	28	0
