iter	Passed	Remaining
0	61	61770
1	62	31024
2	62	20755
3	62	15625
4	63	12552
5	63	10497
6	63	9028
7	63	7927
8	64	7070
9	64	6384
10	64	5823
11	65	5354
12	65	4959
13	65	4622
14	65	4328
15	66	4070
16	66	3843
17	66	3642
18	67	3461
19	67	3298
20	67	3150
21	67	3015
22	68	2892
23	68	2780
24	68	2677
25	68	2581
26	69	2493
27	69	2411
28	69	2334
29	69	2262
30	70	2196
31	70	2134
32	70	2075
33	71	2019
34	71	1967
35	71	1918
36	71	1872
37	72	1827
38	72	1785
39	72	1748
40	73	1712
41	73	1683
42	74	1648
43	74	1615
44	74	1585
45	75	1557
46	75	1528
47	75	1500
48	76	1475
49	76	1449
50	76	1425
51	77	1405
52	77	1387
53	78	1370
54	78	1353
55	79	1336
56	79	1321
57	80	1305
58	80	1288
59	81	1272
60	81	1257
61	82	1244
62	82	1230
63	84	1228
64	84	1216
65	84	1202
66	85	1188
67	85	1175
68	86	1162
69	86	1148
70	86	1135
71	87	1121
72	87	1110
73	87	1100
74	88	1089
75	88	1078
76	89	1067
77	89	1056
78	89	1045
79	90	1035
80	90	1024
81	90	1013
82	90	1001
83	91	992
84	91	982
85	91	972
86	91	963
87	92	954
88	92	945
89	92	937
90	92	928
91	93	919
92	93	911
93	93	903
94	94	895
95	94	888
96	94	881
97	95	874
98	95	867
99	95	860
100	95	853
101	96	846
102	96	839
103	96	833
104	96	826
105	97	821
106	97	815
107	98	809
108	98	804
109	98	798
110	99	793
111	99	787
112	99	782
113	100	778
114	100	773
115	100	767
116	100	762
117	101	756
118	101	752
119	101	747
120	102	743
121	102	738
122	102	733
123	103	728
124	103	724
125	103	720
126	104	715
127	104	710
128	104	706
129	104	702
130	105	698
131	105	694
132	105	690
133	106	686
134	106	682
135	106	678
136	107	674
137	107	672
138	108	669
139	108	666
140	109	664
141	109	660
142	109	656
143	109	653
144	110	650
145	110	646
146	110	643
147	111	640
148	111	638
149	112	634
150	112	632
151	112	628
152	113	625
153	113	622
154	113	619
155	114	617
